FACLID21	JURDID	STATE	COUNTY	FACLNAME	STRATUM	WEIGHT	CONFPOP	V19	NCONPOP	V21	TOTPOP	V23	NONCIT	V25	QWKNDR	WEEKNDR	V28	ADMALE	V30	ADFEML	V32	JUVMALE	V34	JUVFEML	V36	TOTGEND	V38	JUVADS	V40	CONVMALE	V42	CONVFML	V44	UNCONVML	V46	UNCONVFM	V48	TOTADCNV	V50	WHITE	V52	BLACK	V54	HISP	V56	AMINDALK	V58	ASIAN	V60	HAWPAC	V62	TWORACE	TWORACEF	RACESPEC	OTRACE	V65	RACEDK	RACEDKF	TOTRACE	V67	MARSHAL	V69	FBOP	V69F	ICE	V69I	BIA	V69B	OTRSPEC	OTRAUTH	V69OF	YOURST	V71	OTRST	V73	LOCSTATE	V75	LOCOTRST	V77	TOTAUTH	V79	ADMITS	V82	DSCGH	V85	PEAKDATE	DAYINMT	V87	ADP	V89	RATCAP	V91	ELECMON	V93	HOMDTN	V95	COMMSVC	V97	DAYRPTG	V99	PRETSUP	V101	WKPROG	V103	DRUGPROG	V105	PROGSPEC	OTRPROG	V108	TOTNONCF	V110	ADMLNCNF	V112	ADFMNCNF	V114	JVMLNCNF	V116	JVFMNCNF	V118	NCNFGNDR	V120	CONVNCNF	V122	UNCNVNCF	V124	TOTCNVST	V126	NCONPOP2
131001001060000006800	131001001	13	ADA COUNTY	ADA COUNTY	1	1	1001	0	65	0	1066	0	0	9	1	16	0	837	0	158	0	6	0	0	0	1001	0	6	0	495	0	105	0	348	0	53	0	1001	0	893	0	34	0	56	0	11	0	7	0	0	0	0	0	 	0	0	0	0	1001	0	59	0	0	0	8	0	0	0	 	0	0	1	0	8	0	5	0	8	0	89	0	752	0	721	0	29	1005	0	931	0	1135	0	13	0	0	0	52	0	0	0	0	0	0	0	0	0	 	0	0	65	0	46	0	19	0	0	0	0	0	65	0	65	0	0	0	65	0	81
371001001061000000000	371001001	37	ADAIR COUNTY	ADAIR COUNTY JAIL	9	5.5377	96	0	0	0	96	0	9	0	2	0	0	80	0	15	0	0	0	1	0	96	0	0	0	35	0	1	0	45	0	15	0	96	0	48	1	13	1	6	1	29	1	0	1	0	1	0	1	 	0	1	0	1	96	0	0	0	0	0	0	0	0	0	 	0	0	35	0	0	0	5	0	3	0	43	0	28	0	21	0	22	100	0	85	1	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
061001001061000000000	061001001	06	ADAMS COUNTY	ADAMS COUNTY DETENTION FACILITY	1	1	1258	0	93	0	1351	0	184	0	2	0	0	1092	0	158	0	8	0	0	0	1258	0	8	0	519	0	89	0	581	0	69	0	1258	0	0	0	136	0	0	0	1	0	14	0	0	0	0	0	White/hispanic	1107	0	0	0	1258	0	5	0	1	0	271	0	0	0	 	0	0	9	0	0	0	0	0	3	0	289	0	290	0	295	0	2	1280	0	1214	0	1479	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	 	0	0	93	0	70	0	23	0	0	0	0	0	93	0	46	0	47	0	93	0	93
351001001060100000000	351001001	35	ADAMS COUNTY	ADAMS COUNTY JAIL	10	15.7	3	0	2	0	5	0	0	0	1	0	0	3	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	2	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	3	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	28	3	0	1	0	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0	2	0	2	0	2
241001001061000000000	241001001	24	AITKIN COUNTY	AITKIN COUNTY JAIL	9	5.5377	42	0	0	0	42	0	0	0	2	0	0	31	0	11	0	0	0	0	0	42	0	0	0	13	0	8	0	18	0	3	0	42	0	35	0	0	0	2	0	5	0	0	0	0	0	0	0	 	0	0	0	0	42	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	3	0	0	0	3	0	9	0	4	0	16	47	0	34	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101001001060100000000	101001001	10	ALACHUA COUNTY	ALACHUA COUNTY JAIL	1	1	1015	0	0	0	1015	0	8	1	1	15	0	870	0	139	0	5	0	1	0	1015	0	6	0	386	0	58	0	489	0	82	0	1015	0	351	0	639	0	20	0	0	0	4	0	0	0	1	0	 	0	0	0	0	1015	0	13	0	0	0	3	0	0	0	 	0	0	5	0	1	0	25	0	1	0	48	0	236	0	266	0	15	1075	0	1068	0	980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
051001001060000001100	051001001	05	ALAMEDA COUNTY	ALAMEDA COUNTY	1	1	4345	0	2001	0	6346	0	0	9	1	18	0	3929	0	416	0	0	0	0	0	4345	0	0	0	747	0	139	0	3182	0	277	0	4345	0	742	0	2414	0	1009	0	0	0	28	0	43	0	109	0	 	0	0	0	0	4345	0	240	0	0	0	10	0	0	0	 	0	0	777	0	0	0	0	0	0	0	1027	0	1374	0	1429	0	28	4440	0	4371	0	4243	0	0	0	0	0	2001	0	0	0	0	0	0	0	0	0	 	0	0	2001	0	1561	0	440	0	0	0	0	0	2001	0	2001	0	0	0	2001	0	2019
331001001061000000000	331001001	33	ALBANY COUNTY	ALBANY COUNTY CORRECTIONAL FACILITY	1	1	711	0	1	0	712	0	1	0	1	12	0	601	0	70	0	37	0	3	0	711	0	0	0	189	1	14	1	449	0	59	0	711	0	271	1	391	1	46	1	1	1	1	1	1	1	0	9	 	0	0	0	0	711	0	82	0	0	0	1	0	0	0	 	0	0	11	0	0	0	1	0	0	0	95	0	133	0	133	0	28	720	0	713	1	1035	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	 	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	13
471002002062000000000	471002002	47	ALBEMARLE-CHARLOTTESVILLE COUNTY	ALBEMARLE-CHARLOTTESVILLE REGIONAL JAIL	12	1	589	0	5	0	594	0	35	0	1	14	0	504	0	85	0	0	0	0	0	589	0	0	0	309	0	61	0	195	0	24	0	589	0	255	0	332	0	2	0	0	0	0	0	0	0	0	0	 	0	0	0	0	589	0	15	0	0	0	0	0	0	0	HELD FOR LOCALITIES	25	0	0	0	0	0	0	0	0	0	40	0	145	0	136	0	27	603	0	543	0	329	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	5	0	4	0	1	0	0	0	0	0	5	0	5	0	0	0	5	0	19
231001001061000000000	231001001	23	ALCONA COUNTY	ALCONA COUNTY JAIL	10	15.7	34	0	0	0	34	0	0	0	1	0	0	27	0	6	0	1	0	0	0	34	0	1	0	21	0	5	0	7	0	1	0	34	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	34	0	0	8	0	8	0	8	0	8	 	0	8	2	0	0	8	3	0	0	8	5	0	6	0	6	0	28	35	0	23	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
